Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
BABY POTATOES / DEFAULT,NGS,Fresh vegetables,156.0,58.5,9.34192659578,23.0,0.00682813904751,1229.6358945,313.21535177,-87.3133176497,0.0100523387719
BABY RADISH,Kheir Misr,Fresh vegetables,180.18,51.42,2.85700594374,39.0,0.00788650059988,1229.6358945,313.21535177,-85.3468818854,0.00883574802821
BABY RED ONIONS ( CHEMICAL FREE ),NGS,Fresh vegetables,14.5,3.01,6.35184432171,19.0,0.000634666770442,1229.6358945,313.21535177,-98.8207891405,0.000517222900912
BABY SPINACH,NGS,Fresh vegetables,3802.3,1136.05,16.3684543288,24.0,0.166427135259,1229.6358945,313.21535177,209.221617311,0.195212982253
BABY SPINACH ( AQUAPONIC ),Bustan,Aquaponic vegetables,28.0,6.0,5.94630943593,24.0,0.00122556341878,1229.6358945,313.21535177,-97.7229031679,0.00103100910481
BABY SPINACH (CHEMICAL FREE),0,Vegetables,7164.760463,2654.760463,66.3119571697,12.0,0.313602440279,1229.6358945,313.21535177,482.673334038,0.456180368073
BABY SPINACH(CHEMICAL FREE),0,Chemical free vegetables,651.95,150.45,11.0113015515,18.0,0.0285359311027,1229.6358945,313.21535177,-46.9802400111,0.0258525533031
BABY SPINACH(CHEMICAL FREE),0,Vegetables,397.8,108.8,27.2348382661,12.0,0.0174117545712,1229.6358945,313.21535177,-67.6489600068,0.0186956317672
BABY STRIPED AUBEGENE,NGS,Fresh vegetables,12.5,5.0,0.0,21.0,0.000547126526243,1229.6358945,313.21535177,-98.9834389142,0.000859174254007
BABY SWEET CORN,NGS,Fresh vegetables,47.52,0.0,2.93328250562,38.0,0.00207995620217,1229.6358945,313.21535177,-96.1354413764,0.0
BABY YELLOW CARROTS,Kheir Misr,Fresh vegetables,453.49,106.92,4.93864914266,40.0,0.0198493126709,1229.6358945,313.21535177,-63.1199770575,0.0183725822477
BABY YELLOW ZUCCHINI,NGS,Fresh vegetables,175.0,37.0,1.47367585551,23.0,0.0076597713674,1229.6358945,313.21535177,-85.7681447994,0.00635788947965
BABY YELLOW ZUCCHINI (CHEMICAL FREE),0,Vegetables,220.0,68.33,7.43092982796,11.0,0.00962942686188,1229.6358945,313.21535177,-82.1085248906,0.0117414753553
BAGUETTE,NGS,Bread&Bakry,6.5,6.5,0.0,31.0,0.000284505793646,1229.6358945,313.21535177,-99.4713882354,0.00111692653021
BAGUTTE BROWN,NGS,Bread&Bakry,7.5,7.5,0.0,31.0,0.000328275915746,1229.6358945,313.21535177,-99.3900633485,0.00128876138101
BAKING SODA (PURE),0,Baking products,7.0,1.46,0.0,11.0,0.000306390854696,1229.6358945,313.21535177,-99.430725792,0.00025087888217
BAKING SODA (PURE),0,Baking supplments,42.0,8.76,0.0,18.0,0.00183834512818,1229.6358945,313.21535177,-96.5843547518,0.00150527329302
BAKING SODA / 453G,Bob's Red Mill,Baking supplments,1354.5,262.0,10.3350073777,40.0,0.0592866303837,1229.6358945,313.21535177,10.1545592529,0.04502073091
BAKING SODA 453G,0,Baking products,2610.0,662.5,18.0664416041,11.0,0.11424001868,1229.6358945,313.21535177,112.257954707,0.113840588656
BALADY BREAD (WHOLE GRAIN),NGS,Bread,2181.160656,733.950656,12.9393517744,22.0,0.0954696682316,1229.6358945,313.21535177,77.3826435743,0.126118301469
BALADY EGGS ( CHEMICAL FREE ),NGS,Eggs,8299.0,1737.0,22.54598732,26.0,0.363248243303,1229.6358945,313.21535177,574.915236057,0.298477135842
BALADY EGGS (CHEMICAL FREE),0,Eggs,2764.815094,624.315094,21.5033416191,18.0,0.121016294247,1229.6358945,313.21535177,124.84827471,0.107279091031
