Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
BAKING SODA (PURE),0,Baking products,7.0,1.46,0.0,11.0,0.000297737422026,1251.23198091,318.640369211,-99.440551384,0.000243851414461
BAKING SODA (PURE),0,Baking supplments,42.0,8.76,0.0,18.0,0.00178642453215,1251.23198091,318.640369211,-96.6433083041,0.00146310848677
BAKING SODA / 453G,Bob's Red Mill,Baking supplments,1354.5,262.0,10.3350073777,40.0,0.057612191162,1251.23198091,318.640369211,8.25330719335,0.0437596373897
BAKING SODA 453G,0,Baking products,2855.0,699.25,19.0333899437,11.0,0.121434334269,1251.23198091,318.640369211,128.175114092,0.116789795591
BALADY BREAD (WHOLE GRAIN),NGS,Bread,2271.160656,760.950656,13.1471141661,22.0,0.0966013598177,1251.23198091,318.640369211,81.5139550974,0.12709513274
BALADY EGGS ( CHEMICAL FREE ),NGS,Eggs,8299.0,1737.0,22.54598732,26.0,0.35298898077,1251.23198091,318.640369211,563.266294867,0.290116374602
BALADY EGGS (CHEMICAL FREE),0,Eggs,2764.815094,624.315094,21.5033416191,18.0,0.117598416924,1251.23198091,318.640369211,120.967425399,0.104274053933
BALADY EGGS (ORGANIC),0,Eggs,11987.185088,3009.685088,59.5653948455,12.0,0.509861940778,1251.23198091,318.640369211,858.030586722,0.502682168351
BALADY LETTUCE (CHEMICAL FREE),0,Vegetables,60.0,17.5,4.75338560147,11.0,0.00255203504593,1251.23198091,318.640369211,-95.2047261487,0.0029228765432
BALADY RAW HONEY,NGS,Honey,2708.0,611.3,9.06539914959,23.0,0.115181848407,1251.23198091,318.640369211,116.426693156,0.102100253192
BALADY WHOLE CHICKEN(CHEMICAL FREE),0,Chemical free poultry ,3169.8,732.05,12.3932034642,18.0,0.134824011477,1251.23198091,318.640369211,153.334317565,0.12226810134
BALADY WHOLE CHICKEN(CHEMICAL FREE),0,Poultry,5725.0,995.0,0.0,11.0,0.2435066773,1251.23198091,318.640369211,357.549046646,0.166186409171
BALADY WHOLE CHICKEN(CHEMICAL FREE) / DEFAULT,0,Poultry,23135.372595,4498.112595,46.9855329546,12.0,0.98403802772,1251.23198091,318.640369211,1749.00745409,0.751281588149
